target_id	length	eff_length	est_counts	tpm
ATCG00770.1	405	197.693	38	48.3682
ATCG00780.1	369	165.024	87	132.66
ATCG00790.1	408	200.489	131	164.418
ATCG00800.1	657	442.708	132	75.0283
ATCG00810.1	483	271.042	48	44.5629
ATCG00820.1	279	90.4326	31	86.2591
ATCG00830.1	825	610.47	67	27.6172
ATCG00840.1	282	92.8466	5.5	14.9061
ATCG00860.1	6885	6670.47	3.5	0.132032
ATCG00870.1	234	59.2548	0.5	2.12332
ATCG00890.1	1170	955.47	9	2.37025
ATCG00900.1	468	256.73	25.5	24.9938
ATCG00905.1	258	75.2742	35.5	118.673
ATCG01000.1	1032	817.47	0	0
ATCG01010.1	2241	2026.47	8	0.993387
ATCG01020.1	159	22.637	141	1567.36
ATCG01040.1	987	772.47	1	0.325752
ATCG01050.1	1521	1306.47	5	0.963028
ATCG01060.1	246	67.0938	0	0
ATCG01070.1	306	111.398	0	0
ATCG01080.1	531	317.885	4	3.16635
ATCG01090.1	519	306.01	3	2.46691
ATCG01100.1	1083	868.47	5	1.44872
ATCG01110.1	1182	967.47	14	3.64132
ATCG01120.1	267	81.6602	6	18.4888
ATCG01130.1	5361	5146.47	305	14.9128
ATCG01230.1	258	75.2742	35.5	118.673
ATCG01240.1	468	256.73	25.5	24.9938
ATCG01250.1	1170	955.47	9	2.37025
ATCG01270.1	234	59.2548	0.5	2.12332
ATCG01280.1	6885	6670.47	3.5	0.132032
ATCG01300.1	282	92.8466	5.5	14.9061
ATCG01310.1	825	610.47	67	27.6172
AT2G01008.1	1239	1024.47	24	5.89496
AT2G01021.1	102	11.4231	1193	26280
AT2G01023.1	120	12.4615	6	121.157
AT2G01050.1	1548	1333.47	0	0
AT2G01060.1	1264	1049.47	186	44.5976
AT2G01070.1	1807	1592.47	146	23.0701
AT2G01080.1	1004	789.47	72	22.9491
AT2G01090.1	537	323.821	49	38.0767
AT2G01100.1	1211	996.47	366	92.4241
AT2G01110.1	1690	1475.47	249	42.4656
AT2G01120.2	1457	1242.47	69	13.9744
AT2G01130.1	3655	3440.47	147	10.7515
AT2G01140.1	1535	1320.47	562	107.097
AT2G01150.1	847	632.47	35	13.925
AT2G01170.1	1808	1593.47	123	19.4236
AT2G01175.1	1333	1118.47	2	0.44996
AT2G01180.1	1514	1299.47	59	11.4249
AT2G01190.1	2555	2340.47	244	26.2334
AT2G01200.2	872	657.47	53	20.2847
AT2G01210.1	2331	2116.47	32	3.80458
AT2G01220.2	1445	1230.47	204	41.7184
AT2G01240.1	483	271.042	0	0
AT2G01250.1	1081	866.47	1976	573.855
AT2G01260.1	1662	1447.47	62	10.7783
AT2G01270.1	2033	1818.47	194	26.845
AT2G01275.1	1080	865.47	7	2.03524
AT2G01280.1	2257	2042.47	8.01423	0.987358
AT2G01290.1	1464	1249.47	72.9858	14.6988
AT2G01300.1	673	458.663	4	2.1945
AT2G01310.1	162	23.6866	0	0
AT2G01320.3	2662	2447.47	189	19.4318
AT2G01330.1	2079	1864.47	51	6.88309
AT2G01340.1	930	715.47	68.9436	24.2477
AT2G01350.1	1288	1073.47	335.056	78.541
AT2G01360.1	483	271.042	0	0
AT2G01370.1	1012	797.47	0	0
AT2G01390.1	1734	1519.47	10	1.65606
AT2G01400.1	1022	807.47	57.8863	18.0392
AT2G01410.1	1368	1153.47	69.1137	15.0774
AT2G01420.2	2353	2138.47	121	14.2381
AT2G01430.1	828	613.47	4	1.64072
AT2G01440.1	3363	3148.47	117	9.35093
AT2G01450.1	1766	1551.47	982	159.271
AT2G01460.1	3022	2807.47	200	17.926
AT2G01470.1	1464	1249.47	282	56.7926
AT2G01480.1	2610	2395.47	102	10.7146
AT2G01490.1	1153	938.47	283	75.8813
AT2G01500.1	1325	1110.47	3	0.679803
AT2G01505.1	493	280.597	12	10.7614
AT2G01510.1	1755	1540.47	19	3.10362
AT2G01520.1	789	574.47	45	19.7112
AT2G01530.1	737	522.47	1	0.481623
AT2G01540.1	977	762.47	77	25.4119
AT2G01554.1	318	121.406	0	0
AT2G01560.1	1053	838.47	0	0
AT2G01570.1	2302	2087.47	304	36.6456
AT2G01580.1	862	647.47	1	0.388641
AT2G01590.1	989	774.47	78	25.343
AT2G01600.1	2127	1912.47	243	31.9728
AT2G01610.1	904	689.47	204	74.4532
AT2G01620.1	1026	811.47	60	18.6058
AT2G01630.1	1933	1718.47	113	16.5465
AT2G01640.1	676	461.617	56	30.5263
AT2G01650.1	1655	1440.47	112	19.5651
AT2G01660.1	1331	1116.47	84	18.9322
AT2G01667.1	102	11.4231	0	0
AT2G01670.1	1211	996.47	158	39.8989
AT2G01680.1	2043	1828.47	105	14.4501
AT2G01690.2	2983	2768.47	286	25.9953
AT2G01710.1	1268	1053.47	134	32.0075
AT2G01720.1	1719	1504.47	372	62.2197
AT2G01730.1	2063	1848.47	15	2.04196
AT2G01735.1	1306	1091.47	57	13.1411
AT2G01740.1	1680	1465.47	29	4.97954
AT2G01750.2	2339	2124.47	109	12.9105
AT2G01755.1	588	374.03	38	25.565
AT2G01760.1	1405	1190.47	98	20.7146
AT2G01770.1	769	554.47	0	0
AT2G01780.1	828	613.47	0	0
AT2G01790.1	810	595.47	0	0
AT2G01800.1	915	700.47	0	0
AT2G01810.1	2321	2106.47	4	0.47783
AT2G01818.1	916	701.47	10	3.58723
AT2G01820.1	3065	2850.47	378	33.369
AT2G01830.2	3658	3443.47	89	6.50372
AT2G01850.1	1383	1168.47	659	141.918
AT2G01860.1	1864	1649.47	38.2852	5.84056
AT2G01870.1	936	721.47	59.7148	20.8273
AT2G01880.1	1192	977.47	1	0.257434
AT2G01890.1	1265	1050.47	72	17.2472
AT2G01900.1	1553	1338.47	0	0
AT2G01905.1	2604	2389.47	5	0.526547
AT2G01910.1	2410	2195.47	370	42.4075
AT2G01913.1	777	562.47	19	8.50008
AT2G01918.1	743	528.47	19	9.04695
AT2G01920.1	939	724.47	3	1.042
AT2G01930.1	1237	1022.47	113	27.8097
AT2G01940.3	1878	1663.47	29	4.38684
AT2G01950.1	3641	3426.47	58	4.25941
AT2G01960.1	905	690.47	0	0
AT2G01970.1	2171	1956.47	387	49.7744
AT2G01980.1	3682	3467.47	48	3.48335
AT2G01990.1	907	692.47	13	4.72401
AT2G02000.1	1711	1496.47	0	0
AT2G02010.1	1791	1576.47	40	6.38473
AT2G02020.1	1708	1493.47	4	0.673957
AT2G02023.1	312	116.419	0	0
AT2G02026.1	180	30.6387	0	0
AT2G02030.1	1005	790.47	0	0
AT2G02040.1	2002	1787.47	144	20.2718
AT2G02050.1	647	432.752	399	232.008
AT2G02060.1	1030	815.47	3	0.925725
AT2G02061.1	1227	1012.47	2	0.497069
AT2G02070.1	2116	1901.47	173	22.8942
AT2G02080.1	1844	1629.47	109	16.8325
AT2G02090.1	2617	2402.47	173	18.1199
AT2G02100.1	504	291.34	1113	961.309
AT2G02103.1	1396	1181.47	0	0
AT2G02120.1	516	303.01	3	2.49134
AT2G02130.1	533	319.853	324	254.896
AT2G02140.1	530	316.885	264	209.638
AT2G02147.1	243	65.2052	1	3.8591
AT2G02148.1	1576	1361.47	52	9.61089
AT2G02150.1	2286	2071.47	35	4.25165
AT2G02160.1	2521	2306.47	471	51.3856
AT2G02170.1	1652	1437.47	232	40.6123
AT2G02180.1	1296	1081.47	253	58.8674
AT2G02220.1	3147	2932.47	104	8.92418
AT2G02230.1	1238	1023.47	83	20.4066
AT2G02240.1	963	748.47	17	5.71535
AT2G02250.1	960	745.47	0	0
AT2G02280.1	435	225.521	0	0
AT2G02290.1	909	694.47	0	0
AT2G02300.1	1248	1033.47	5	1.21742
AT2G02310.1	924	709.47	0	0
AT2G02320.1	1079	864.47	0	0
AT2G02340.1	918	703.47	0	0
AT2G02350.1	1030	815.47	18	5.55435
AT2G02360.1	1144	929.47	83	22.4704
AT2G02370.1	1454	1239.47	89	18.0685
AT2G02380.1	815	600.47	8	3.35249
AT2G02390.3	962	747.47	248	83.4885
AT2G02400.1	1260	1045.47	73	17.5703
AT2G02410.1	1286	1071.47	64	15.0303
AT2G02440.1	417	208.67	0	0
AT2G02450.2	1410	1195.47	33	6.94614
AT2G02470.1	1322	1107.47	186	42.2619
AT2G02480.1	4163	3948.47	90	5.73564
AT2G02490.1	1244	1029.47	1	0.24443
AT2G02498.1	445	234.842	0	0
AT2G02500.1	1116	901.47	104	29.0302
AT2G02510.1	506	293.311	206	176.729
AT2G02515.1	401	193.934	1	1.29752
AT2G02520.1	636	421.795	2	1.19316
AT2G02540.1	1205	990.47	12	3.04866
AT2G02550.2	603	388.954	0	0
AT2G02560.1	4095	3880.47	246	15.9521
AT2G02570.1	1302	1087.47	377	87.2354
AT2G02580.1	1651	1436.47	2	0.35035
AT2G02590.1	1209	994.47	26	6.57885
AT2G02610.1	2108	1893.47	3	0.398686
AT2G02620.1	2125	1910.47	0	0
AT2G02630.1	2056	1841.47	0	0
AT2G02640.1	1884	1669.47	0	0
AT2G02650.1	1098	883.47	0	0
AT2G02660.1	1266	1051.47	0	0
AT2G02680.1	1950	1735.47	0	0
AT2G02690.1	1889	1674.47	0	0
AT2G02700.1	1500	1285.47	4	0.783009
AT2G02710.1	1582	1367.47	840	154.572
AT2G02720.1	1723	1508.47	340.162	56.7437
AT2G02730.1	1523	1308.47	103.838	19.9692
AT2G02740.1	1094	879.47	103	29.4703
AT2G02750.1	2390	2175.47	27	3.12305
AT2G02760.1	934	719.47	567	198.307
AT2G02770.1	2161	1946.47	102	13.1862
AT2G02780.1	2314	2099.47	329	39.4325
AT2G02790.1	2067	1852.47	201	27.3032
AT2G02795.1	507	294.311	0	0
AT2G02800.1	1683	1468.47	125	21.4197
AT2G02810.1	1259	1044.47	168	40.4745
AT2G02820.2	2066	1851.47	26	3.53366
AT2G02835.1	597	382.992	0	0
AT2G02840.1	1306	1091.47	0	0
AT2G02850.1	708	493.521	324	165.199
AT2G02860.1	2138	1923.47	181	23.6789
AT2G02870.1	2190	1975.47	309	39.3601
AT2G02880.1	1280	1065.47	48	11.3362
AT2G02890.1	1596	1381.47	1	0.182149
AT2G02910.1	1615	1400.47	114	20.4833
AT2G02930.1	939	724.47	2	0.694669
AT2G02950.1	1592	1377.47	16	2.92285
AT2G02955.1	2444	2229.47	37	4.17608
AT2G02960.5	1560	1345.47	250	46.7557
AT2G02970.1	2275	2060.47	435	53.1241
AT2G02980.1	2027	1812.47	21	2.91553
AT2G02990.1	1045	830.47	84	25.4521
AT2G03000.1	1608	1393.47	3	0.541742
AT2G03010.1	1107	892.47	5	1.40976
AT2G03020.1	1117	902.47	0	0
AT2G03030.1	615	400.836	0	0
AT2G03040.1	501	288.34	3	2.61809
AT2G03050.1	1257	1042.47	44	10.6208
AT2G03060.2	1337	1122.47	62	13.8991
AT2G03070.1	2086	1871.47	77	10.3532
AT2G03090.1	1358	1143.47	152	33.4493
AT2G03110.1	1030	815.47	6	1.85145
AT2G03120.1	1425	1210.47	436	90.6361
AT2G03130.1	333	133.862	2	3.75958
AT2G03140.2	5768	5553.47	182	8.24661
AT2G03150.1	4398	4183.47	343	20.6313
AT2G03160.1	603	388.954	0	0
AT2G03170.1	450	239.53	1	1.05053
AT2G03180.1	363	159.704	0	0
AT2G03190.1	688	473.617	0	0
AT2G03200.1	1468	1253.47	49	9.83673
AT2G03210.1	1620	1405.47	3	0.537116
AT2G03220.1	1873	1658.47	130	19.7244
AT2G03230.1	459	248.111	2	2.02839
AT2G03240.1	2752	2537.47	501	49.6827
AT2G03250.1	2271	2056.47	33	4.03794
AT2G03260.1	2596	2381.47	6	0.633979
AT2G03270.1	2196	1981.47	62	7.87359
AT2G03280.2	1744	1529.47	47	7.7326
AT2G03290.1	814	599.47	0	0
AT2G03300.1	612	397.836	0	0
AT2G03310.1	845	630.47	41	16.3639
AT2G03320.1	306	111.398	0	0
AT2G03330.1	1158	943.47	26	6.93448
AT2G03340.1	2128	1913.47	95	12.4931
AT2G03350.1	809	594.47	159	67.3032
AT2G03360.2	1486	1271.47	8	1.58326
AT2G03370.1	1439	1224.47	0	0
AT2G03380.1	2070	1855.47	16	2.16987
AT2G03390.1	1366	1151.47	215	46.9845
AT2G03410.1	2412	2197.47	55.8222	6.39223
AT2G03420.1	647	432.752	94.1778	54.7618
AT2G03430.1	1003	788.47	59	18.8294
AT2G03440.1	914	699.47	397	142.82
AT2G03450.1	2194	1979.47	23	2.9238
AT2G03460.1	1280	1065.47	3	0.708514
AT2G03470.1	1707	1492.47	256	43.1621
AT2G03480.1	2444	2229.47	136	15.3499
AT2G03500.1	1666	1451.47	10	1.73365
AT2G03505.1	866	651.47	18	6.95259
AT2G03510.1	1397	1182.47	186	39.5814
AT2G03520.1	1322	1107.47	7	1.5905
AT2G03530.1	1368	1153.47	78	17.016
AT2G03550.1	1048	833.47	81	24.4548
AT2G03560.1	1362	1147.47	0	0
AT2G03565.1	201	40.4316	0	0
AT2G03570.1	270	83.8485	0	0
AT2G03580.1	435	225.521	0	0
AT2G03590.1	1802	1587.47	7	1.10959
AT2G03600.4	1269	1054.47	0	0
AT2G03610.1	651	436.752	0	0
AT2G03620.1	1595	1380.47	79	14.4002
AT2G03630.1	759	544.47	1	0.462163
AT2G03640.3	1727	1512.47	295	49.0799
AT2G03667.1	2043	1828.47	77	10.5967
AT2G03670.1	1975	1760.47	27	3.85926
AT2G03680.1	659	444.708	405	229.165
AT2G03690.1	1063	848.47	69	20.4636
AT2G03710.1	1341	1126.47	55	12.286
AT2G03720.1	846	631.47	0	0
AT2G03730.1	1800	1585.47	91	14.4428
AT2G03740.1	857	642.47	111	43.4749
AT2G03750.1	1255	1040.47	116	28.0541
AT2G03760.1	1327	1112.47	93	21.036
AT2G03770.1	975	760.47	0	0
AT2G03780.1	1119	904.47	91	25.3172
AT2G03800.1	1262	1047.47	91	21.8609
AT2G03810.1	1787	1572.47	161	25.7639
AT2G03820.1	1841	1626.47	363	56.1603
AT2G03821.1	904	689.47	0	0
AT2G03822.1	174	28.2518	0	0
AT2G03830.1	678	463.617	18	9.7697
AT2G03840.1	837	622.47	14	5.6595
AT2G03850.1	753	538.47	183	85.5181
AT2G03870.2	669	454.663	202	111.797
AT2G03880.1	2167	1952.47	5	0.644398
AT2G03890.1	2893	2678.47	290	27.2446
AT2G03913.1	222	51.6906	0	0
AT2G03930.2	495	282.512	0	0
AT2G03931.1	228	55.5209	0	0
AT2G03932.1	273	86.1159	0	0
AT2G03933.1	228	55.5209	1	4.53223
AT2G03936.1	246	67.0938	0	0
AT2G03937.2	229	56.2134	1	4.4764
AT2G03938.1	150	19.8838	0	0
AT2G03955.1	234	59.2548	0	0
AT2G03980.1	1420	1205.47	130	27.1366
AT2G04020.1	786	571.47	1	0.440327
AT2G04025.1	511	298.222	1	0.84378
AT2G04030.1	2680	2465.47	1095	111.759
AT2G04031.1	620	405.836	1	0.620037
AT2G04032.1	1342	1127.47	0	0
AT2G04034.1	279	90.4326	0	0
AT2G04037.1	474	262.391	2	1.918
AT2G04038.1	501	288.34	0	0
AT2G04039.3	932	717.47	63	22.0956
AT2G04040.1	1542	1327.47	0	0
AT2G04041.1	456	245.211	3	3.07858
AT2G04045.1	439	229.313	0	0
AT2G04046.1	333	133.862	0	0
AT2G04050.1	1431	1216.47	11	2.27541
AT2G04060.1	1410	1195.47	0	0
AT2G04063.1	339	138.708	1	1.81412
AT2G04066.1	516	303.01	0.0643052	0.053402
AT2G04070.1	1623	1408.47	6	1.07194
AT2G04080.1	1663	1448.47	37.9357	6.59033
AT2G04090.1	1434	1219.47	0	0
AT2G04100.1	1661	1446.47	0	0
AT2G04115.1	623	408.836	9	5.53938
AT2G04160.1	2552	2337.47	15	1.61478
AT2G04170.1	1576	1361.47	14	2.58755
AT2G04190.1	1461	1246.47	1	0.201877
AT2G04220.1	1107	892.47	13	3.66537
AT2G04230.1	1930	1715.47	111	16.282
AT2G04235.1	3981	3766.47	36	2.40512
AT2G04240.1	849	634.47	167	66.2329
AT2G04270.5	3256	3041.47	76	6.2878
AT2G04280.1	2022	1807.47	336	46.7775
AT2G04300.1	2658	2443.47	0	0
AT2G04305.1	1821	1606.47	104	16.2903
AT2G04340.1	984	769.47	68	22.2375
AT2G04350.1	2434	2219.47	149	16.8929
AT2G04360.1	1241	1026.47	133	32.6042
AT2G04370.1	249	69.0766	0	0
AT2G04378.2	848	633.47	145.103	57.6393
AT2G04380.1	697	482.569	89.897	46.8764
AT2G04390.1	684	469.617	430.019	230.416
AT2G04395.1	477	265.311	0	0
AT2G04400.1	1428	1213.47	141	29.2387
AT2G04410.1	615	400.836	340	213.442
AT2G04420.1	762	547.47	3	1.37889
AT2G04425.1	306	111.398	0	0
AT2G04430.1	1019	804.47	23	7.19427
AT2G04440.1	660	445.708	0	0
AT2G04450.1	1311	1096.47	3	0.688483
AT2G04480.1	744	529.47	0	0
AT2G04495.1	941	726.47	1	0.346378
AT2G04500.1	1988	1773.47	0	0
AT2G04515.1	842	627.47	0	0
AT2G04520.1	817	602.47	446	186.281
AT2G04530.1	1294	1079.47	117	27.2737
AT2G04540.1	1544	1329.47	59	11.1671
AT2G04550.1	1280	1065.47	93	21.9639
AT2G04560.1	1418	1203.47	23	4.80907
AT2G04570.1	1347	1132.47	633	140.652
AT2G04620.1	2397	2182.47	55	6.34137
AT2G04622.1	246	67.0938	0	0
AT2G04630.1	757	542.47	210	97.412
AT2G04650.1	1526	1311.47	33	6.33175
AT2G04660.1	2913	2698.47	63	5.87478
AT2G04675.1	493	280.597	0	0
AT2G04680.1	2070	1855.47	0	0
AT2G04690.1	940	725.47	129	44.7444
AT2G04700.1	810	595.47	439	185.513
AT2G04740.1	1879	1664.47	92	13.9085
AT2G04750.1	1959	1744.47	0	0
AT2G04780.1	1285	1070.47	309	72.6361
AT2G04790.2	717	502.521	20	10.0148
AT2G04795.1	523	309.948	11	8.93042
AT2G04800.1	306	111.398	3	6.77662
AT2G04810.1	1194	979.47	0	0
AT2G04830.1	502	289.34	0	0
AT2G04840.1	1170	955.47	0	0
AT2G04842.1	1953	1738.47	235	34.0149
AT2G04845.1	787	572.47	47	20.6592
AT2G04850.1	1400	1185.47	58	12.3114
AT2G04860.1	2079	1864.47	23	3.10414
AT2G04865.1	2527	2312.47	167	18.1723
AT2G04870.1	219	50.1681	0	0
AT2G04880.1	2028	1813.47	255	35.3833
AT2G04890.1	1863	1648.47	42	6.41116
AT2G04900.1	631	416.836	169	102.021
AT2G04910.1	375	170.306	1	1.47754
AT2G04920.1	1131	916.47	0	0
AT2G04925.1	398	191.151	2	2.63282
AT2G04930.1	834	619.47	0	0
AT2G04940.1	1499	1284.47	123	24.0963
AT2G05050.1	597	382.992	1	0.657019
AT2G05060.1	948	733.47	0	0
AT2G05070.1	1063	848.47	430.338	127.627
AT2G05100.1	1101	886.47	463.662	131.615
AT2G05117.1	273	86.1159	0	0
AT2G05120.1	4018	3803.47	110	7.27748
AT2G05140.1	489	276.821	0	0
AT2G05160.1	2436	2221.47	18	2.03892
AT2G05170.1	3334	3119.47	211	17.0204
AT2G05180.1	1329	1114.47	0	0
AT2G05185.1	684	469.617	43.9439	23.5463
AT2G05210.1	1993	1778.47	136	19.2425
AT2G05220.1	720	505.521	801.759	399.092
AT2G05230.1	2849	2634.47	113.227	10.815
AT2G05250.1	2839	2624.47	87.7729	8.41564
AT2G05260.1	1379	1164.47	63	13.6138
AT2G05270.1	415	206.925	2	2.43212
AT2G05294.1	93	11.9394	0	0
AT2G05310.1	564	350.282	277.975	199.69
AT2G05320.1	1449	1234.47	77	15.6956
AT2G05330.1	648	433.752	1	0.580132
AT2G05335.1	306	111.398	0	0
AT2G05350.1	1510	1295.47	0	0
AT2G05360.1	1077	862.47	0	0
AT2G05370.1	636	421.795	0	0
AT2G05380.1	603	388.954	247	159.796
AT2G05400.1	1415	1200.47	0	0
AT2G05410.1	1082	867.47	1	0.290078
AT2G05420.1	894	679.47	0	0
AT2G05430.1	1192	977.47	0	0
AT2G05440.2	727	512.47	14	6.8743
AT2G05500.1	267	81.6602	0	0
AT2G05510.1	707	492.521	7	3.57637
AT2G05520.1	710	495.521	500	253.908
AT2G05530.1	615	400.836	0	0
AT2G05540.1	756	541.47	301	139.882
AT2G05580.1	1075	860.47	0	0
AT2G05590.2	1266	1051.47	86	20.5812
AT2G05600.1	720	505.521	0	0
AT2G05620.1	768	553.47	185	84.1097
AT2G05630.2	827	612.47	108	44.3719
AT2G05632.1	986	771.47	31	10.1114
AT2G05635.1	441	231.174	0	0
AT2G05642.1	1889	1674.47	0	0
AT2G05645.1	615	400.836	0	0
AT2G05710.1	3493	3278.47	786	60.3281
AT2G05720.1	831	616.47	0	0
AT2G05752.1	594	379.992	0	0
AT2G05753.1	303	109.127	1	2.30588
AT2G05755.1	1342	1127.47	45	10.0433
AT2G05760.1	1816	1601.47	33	5.18518
AT2G05786.1	135	15.4313	0	0
AT2G05790.1	1843	1628.47	930	143.705
AT2G05803.1	138	16.4118	0	0
AT2G05810.1	2282	2067.47	169	20.5691
AT2G05830.1	1549	1334.47	159	29.9817
AT2G05840.1	1116	901.47	360	100.489
AT2G05850.1	1584	1369.47	330	60.6359
AT2G05900.1	939	724.47	0	0
AT2G05910.1	810	595.47	47	19.8613
AT2G05915.1	351	149.196	2	3.3732
AT2G05920.1	2603	2388.47	573	60.3675
AT2G05940.1	1702	1487.47	48	8.1201
AT2G05970.1	1134	919.47	0	0
AT2G05990.1	1606	1391.47	711	128.577
AT2G06000.1	2057	1842.47	85	11.6088
AT2G06005.1	1238	1023.47	41	10.0804
AT2G06010.1	1031	816.47	91	28.0459
AT2G06020.1	906	691.47	0	0
AT2G06025.1	1431	1216.47	166	34.338
AT2G06040.1	2608	2393.47	51	5.3618
AT2G06050.2	1510	1295.47	329	63.9053
AT2G06090.1	408	200.489	1	1.2551
AT2G06095.1	696	481.569	0	0
AT2G06166.1	312	116.419	0	0
AT2G06200.1	872	657.47	9	3.44457
AT2G06210.1	3579	3364.47	192	14.36
AT2G06255.1	703	488.521	69	35.5414
AT2G06420.1	1470	1255.47	0	0
AT2G06500.1	1749	1534.47	0	0
AT2G06510.1	2117	1902.47	82	10.8459
AT2G06520.1	630	415.836	1098	664.429
AT2G06530.1	1041	826.47	407	123.918
AT2G06541.1	1779	1564.47	0	0
AT2G06555.1	622	407.836	0	0
AT2G06570.1	834	619.47	0	0
AT2G06645.1	1264	1049.47	0	0
AT2G06667.1	189	34.6264	0	0
AT2G06845.1	948	733.47	0	0
AT2G06850.1	1214	999.47	3456	870.107
AT2G06904.1	654	439.752	0	0
AT2G06906.1	372	167.729	0	0
AT2G06908.1	414	206.009	0	0
AT2G06925.1	658	443.708	168	95.2754
AT2G06960.1	447	236.723	0	0
AT2G06983.1	264	79.4578	0	0
AT2G06990.1	3352	3137.47	167	13.3938
AT2G07000.1	322	124.743	0	0
AT2G07020.1	2103	1888.47	0	0
AT2G07040.1	2209	1994.47	867	109.386
AT2G07050.1	2839	2624.47	301	28.8598
AT2G07110.1	453	242.408	0	0
AT2G07120.1	1062	847.47	0	0
AT2G07140.1	1329	1114.47	1	0.225788
AT2G07170.1	2758	2543.47	46	4.55092
AT2G07180.1	1736	1521.47	460	76.0787
AT2G07190.1	1359	1144.47	0	0
AT2G07200.1	456	245.211	0	0
AT2G07215.1	738	523.47	0	0
AT2G07240.1	3174	2959.47	0	0
AT2G07280.1	1482	1267.47	0	0
AT2G07290.1	405	197.693	0	0
AT2G07310.1	792	577.47	0	0
AT2G07340.1	609	394.836	140	89.2235
AT2G07360.2	4065	3850.47	444	29.016
AT2G07362.1	126	13.5502	0	0
AT2G07363.1	150	19.8838	0	0
AT2G07440.1	411	203.282	0	0
AT2G07505.1	432	222.68	0	0
AT2G07521.1	150	19.8838	0	0
AT2G07560.1	3332	3117.47	19	1.53363
AT2G07599.2	1232	1017.47	3	0.741939
AT2G07640.1	471	259.496	0	0
AT2G07667.1	657	442.708	0	0
AT2G07669.1	330	131.321	0	0
AT2G07671.1	449	238.603	13.9604	14.7228
AT2G07672.1	480	268.15	0	0
AT2G07673.1	321	123.948	0	0
AT2G07674.1	756	541.47	0	0
AT2G07675.1	378	173.075	3	4.3617
AT2G07676.1	357	154.347	0	0
AT2G07678.1	738	523.47	0	0
AT2G07680.1	4244	4029.47	36	2.24814
AT2G07681.1	2291	2076.47	1	0.121183
AT2G07684.1	111	11.9882	0	0
AT2G07687.1	998	783.47	0	0
AT2G07689.1	645	430.752	1	0.584173
AT2G07690.1	2462	2247.47	178	19.9294
AT2G07691.1	411	203.282	0	0
AT2G07692.1	839	624.47	1	0.402955
AT2G07695.1	876	661.47	0	0
AT2G07696.1	832	617.47	0	0
AT2G07698.1	2433	2218.47	24.7042	2.80212
AT2G07701.1	321	123.948	0	0
AT2G07702.1	459	248.111	0	0
AT2G07705.1	201	40.4316	0	0
AT2G07706.1	2080	1865.47	311	41.9508
AT2G07707.1	477	265.311	1	0.948447
AT2G07708.1	1183	968.47	2.30025	0.597664
AT2G07713.1	369	165.024	0	0
AT2G07714.1	591	376.992	0	0
AT2G07715.1	2170	1955.47	8.53974	1.09891
AT2G07718.1	942	727.47	2.5	0.864756
AT2G07719.1	701	486.521	0	0
AT2G07721.1	399	192.073	0	0
AT2G07722.1	420	211.563	0.666667	0.792934
